,lift_err,e_reduct,r_time,gust,dir,taps,gustID,IDnum,out_cap,AoA,speed,contID,g_cat,tap_cat
35,0.005360172254364586,0.969790440742034,0.44945693016052246,12.5,-1.0,1.0,11.0,35.0,0.3577003585524614,5.0,10.0,32.0,g12,Tc
36,0.02674250829062004,0.709646890117452,0.0498661994934082,7.5,1.0,6.0,6.0,18.0,0.4510097061655507,5.0,10.0,30.0,g7,Ta
37,0.0481149551096444,0.47108647384992297,0.30400538444519043,7.5,1.0,3.0,6.0,19.0,0.4575523360737246,5.0,10.0,31.0,g7,Tb
38,0.04610283542445586,0.5176799188071449,0.20547008514404297,7.5,1.0,1.0,6.0,20.0,0.3653327202240384,5.0,10.0,32.0,g7,Tc
39,0.033176640200487606,0.6213180115827398,0.35390186309814453,7.5,-1.0,6.0,7.0,21.0,0.15975189016782732,5.0,10.0,30.0,g7,Ta
40,0.019517788702226306,0.7733459787948106,0.49909400939941406,7.5,-1.0,3.0,7.0,22.0,0.2086439683697061,5.0,10.0,31.0,g7,Tb
41,0.08295298485004694,0.0456584557140024,0.4070448875427246,7.5,-1.0,1.0,7.0,23.0,0.10865314178737273,5.0,10.0,32.0,g7,Tc
42,0.018462976182148594,0.8394207044739176,0.5485639572143555,10.0,1.0,6.0,8.0,24.0,0.664057812392937,5.0,10.0,30.0,g10,Ta
43,0.044740182143376224,0.5687215518291513,0.2474348545074463,10.0,1.0,3.0,8.0,25.0,0.45989193486849145,5.0,10.0,31.0,g10,Tb
44,0.03142705507276041,0.7099261905105122,0.3974344730377197,10.0,1.0,1.0,8.0,26.0,0.21445411678313597,5.0,10.0,32.0,g10,Tc
45,0.0005388292279784592,0.9989128527101587,0.34856534004211426,10.0,-1.0,6.0,9.0,27.0,0.5991277152073129,5.0,10.0,30.0,g10,Ta
46,-0.017577051216956626,0.8837148745979893,0.4485647678375244,10.0,-1.0,3.0,9.0,28.0,0.6051602835650884,5.0,10.0,31.0,g10,Tb
47,0.004741104256763104,0.9645618567552118,0.4985651969909668,10.0,-1.0,1.0,9.0,29.0,0.45946066547049125,5.0,10.0,32.0,g10,Tc
48,0.04766245532521326,0.6501836234319316,0.5994901657104492,12.5,1.0,6.0,10.0,30.0,0.6132197543203781,5.0,10.0,30.0,g12,Ta
49,0.05024592895635405,0.6328159656681489,0.5494534969329834,12.5,1.0,3.0,10.0,31.0,0.4790481141386934,5.0,10.0,31.0,g12,Tb
50,0.03494634162373161,0.7446697615243767,0.4994516372680664,12.5,1.0,1.0,10.0,32.0,0.2557087222971941,5.0,10.0,32.0,g12,Tc
51,0.015352048055605291,0.9146814086892564,0.3524134159088135,12.5,-1.0,6.0,11.0,33.0,0.5785538789746203,5.0,10.0,30.0,g12,Ta
52,-0.027957794003694265,0.8402446419058376,0.4994168281555176,12.5,-1.0,3.0,11.0,34.0,0.5216495994115854,5.0,10.0,31.0,g12,Tb
53,0.004721682882479508,0.9740047673036972,0.39941835403442383,12.5,-1.0,1.0,11.0,35.0,0.3577003585524614,5.0,10.0,32.0,g12,Tc
54,0.011468819084411592,0.8881537213676663,0.2541391849517822,7.5,1.0,6.0,6.0,18.0,0.4510097061655507,5.0,10.0,30.0,g7,Ta
55,0.034937027653627384,0.608281989899337,0.7113454341888428,7.5,1.0,3.0,6.0,19.0,0.4575523360737246,5.0,10.0,31.0,g7,Tb
56,0.025468912351574207,0.7184499490643645,0.30403566360473633,7.5,1.0,1.0,6.0,20.0,0.3653327202240384,5.0,10.0,32.0,g7,Tc
57,0.033677660467550094,0.6206971484238475,0.3505282402038574,7.5,-1.0,6.0,7.0,21.0,0.15975189016782732,5.0,10.0,30.0,g7,Ta
58,0.0005309073153243807,0.9941726052646753,0.26198673248291016,7.5,-1.0,3.0,7.0,22.0,0.2086439683697061,5.0,10.0,31.0,g7,Tb
59,0.04295659068636073,0.5203522704529584,1.649773120880127,7.5,-1.0,1.0,7.0,23.0,0.10865314178737273,5.0,10.0,32.0,g7,Tc
60,0.02324498259756248,0.7824004422342493,0.5985636711120605,10.0,1.0,6.0,8.0,24.0,0.664057812392937,5.0,10.0,30.0,g10,Ta
61,0.05204675363558426,0.5085271559533711,0.2474348545074463,10.0,1.0,3.0,8.0,25.0,0.45989193486849145,5.0,10.0,31.0,g10,Tb
62,0.050129595723731976,0.5192322727368938,0.4474334716796875,10.0,1.0,1.0,8.0,26.0,0.21445411678313597,5.0,10.0,32.0,g10,Tc
63,-0.010730915364445367,0.9255111722681028,0.19856572151184082,10.0,-1.0,6.0,9.0,27.0,0.5991277152073129,5.0,10.0,30.0,g10,Ta
64,-0.025987758221749202,0.8210489475079402,0.39856433868408203,10.0,-1.0,3.0,9.0,28.0,0.6051602835650884,5.0,10.0,31.0,g10,Tb
65,0.02580337216732068,0.8199682814251306,0.7914574146270752,10.0,-1.0,1.0,9.0,29.0,0.45946066547049125,5.0,10.0,32.0,g10,Tc
66,0.04602462758927487,0.6597011940485923,0.34941649436950684,12.5,1.0,6.0,10.0,30.0,0.6132197543203781,5.0,10.0,30.0,g12,Ta
67,0.05240483984978484,0.6192503048320537,0.3000338077545166,12.5,1.0,3.0,10.0,31.0,0.4790481141386934,5.0,10.0,31.0,g12,Tb
68,0.054547995042031484,0.5893991783272414,0.4994537830352783,12.5,1.0,1.0,10.0,32.0,0.2557087222971941,5.0,10.0,32.0,g12,Tc
69,0.0018403607485635164,0.9946519956806009,0.2994561195373535,12.5,-1.0,6.0,11.0,33.0,0.5785538789746203,5.0,10.0,30.0,g12,Ta
70,-0.034899069717324156,0.8092642178078355,0.4994537830352783,12.5,-1.0,3.0,11.0,34.0,0.5216495994115854,5.0,10.0,31.0,g12,Tb
71,-0.012214897801195406,0.9328222785377451,0.4494149684906006,12.5,-1.0,1.0,11.0,35.0,0.3577003585524614,5.0,10.0,32.0,g12,Tc
72,0.018130923355921685,0.8111824333878647,0.09856557846069336,7.5,1.0,6.0,6.0,18.0,0.4510097061655507,5.0,10.0,30.0,g7,Ta
73,0.037628794038289996,0.6014038943622821,0.0,7.5,1.0,3.0,6.0,19.0,0.4575523360737246,5.0,10.0,31.0,g7,Tb
74,0.01253663106789523,0.8522715256243816,0.599092960357666,7.5,1.0,1.0,6.0,20.0,0.3653327202240384,5.0,10.0,32.0,g7,Tc
75,0.030985742294309927,0.6541333718713235,0.498960018157959,7.5,-1.0,6.0,7.0,21.0,0.15975189016782732,5.0,10.0,30.0,g7,Ta
76,0.0249021323927177,0.7147315416124354,0.3990950584411621,7.5,-1.0,3.0,7.0,22.0,0.2086439683697061,5.0,10.0,31.0,g7,Tb
77,0.04732401227281325,0.4591656084448382,0.3990950584411621,7.5,-1.0,1.0,7.0,23.0,0.10865314178737273,5.0,10.0,32.0,g7,Tc
78,0.016628571373897134,0.8434953893262456,0.7428703308105469,10.0,1.0,6.0,8.0,24.0,0.664057812392937,5.0,10.0,30.0,g10,Ta
79,0.04275489810168114,0.5860283022741366,0.0,10.0,1.0,3.0,8.0,25.0,0.45989193486849145,5.0,10.0,31.0,g10,Tb
80,0.051234069318073096,0.5143165739049212,0.4474334716796875,10.0,1.0,1.0,8.0,26.0,0.21445411678313597,5.0,10.0,32.0,g10,Tc
81,0.0013183767595269008,0.9903454262755146,0.2999989986419678,10.0,-1.0,6.0,9.0,27.0,0.5991277152073129,5.0,10.0,30.0,g10,Ta
82,-0.016295200928257852,0.8857610682810406,0.35755181312561035,10.0,-1.0,3.0,9.0,28.0,0.6051602835650884,5.0,10.0,31.0,g10,Tb
83,0.001383626654441213,0.9871350718780239,0.4985651969909668,10.0,-1.0,1.0,9.0,29.0,0.45946066547049125,5.0,10.0,32.0,g10,Tc
84,0.03330169606359326,0.7514056534018821,0.5994901657104492,12.5,1.0,6.0,10.0,30.0,0.6132197543203781,5.0,10.0,30.0,g12,Ta
85,0.04468205843445138,0.661550558227058,0.5494174957275391,12.5,1.0,3.0,10.0,31.0,0.4790481141386934,5.0,10.0,31.0,g12,Tb
86,0.05002133801795498,0.6273924036680133,0.10003852844238281,12.5,1.0,1.0,10.0,32.0,0.2557087222971941,5.0,10.0,32.0,g12,Tc
87,0.01060273096613122,0.9426665245604877,0.25245118141174316,12.5,-1.0,6.0,11.0,33.0,0.5785538789746203,5.0,10.0,30.0,g12,Ta
88,-0.007578329693133373,0.9605765541597419,0.2994546890258789,12.5,-1.0,3.0,11.0,34.0,0.5216495994115854,5.0,10.0,31.0,g12,Tb
89,-0.004072614078742287,0.9776143064900881,0.8994524478912354,12.5,-1.0,1.0,11.0,35.0,0.3577003585524614,5.0,10.0,32.0,g12,Tc
90,-0.009745214786853185,0.887787183667318,0.5570440292358398,7.5,1.0,6.0,6.0,18.0,0.4510097061655507,5.0,10.0,30.0,g7,Ta
91,0.07882462002941974,0.14179812504398326,0.0,7.5,1.0,3.0,6.0,19.0,0.4575523360737246,5.0,10.0,31.0,g7,Tb
92,0.006933939691687719,0.9367061250066423,0.19974708557128906,7.5,1.0,1.0,6.0,20.0,0.3653327202240384,5.0,10.0,32.0,g7,Tc
93,0.0326103137166811,0.6350521481079905,0.3989593982696533,7.5,-1.0,6.0,7.0,21.0,0.15975189016782732,5.0,10.0,30.0,g7,Ta
94,0.014573321222095904,0.8367529375704653,0.49909400939941406,7.5,-1.0,3.0,7.0,22.0,0.2086439683697061,5.0,10.0,31.0,g7,Tb
95,0.039707717878199184,0.5408288601805823,0.49909400939941406,7.5,-1.0,1.0,7.0,23.0,0.10865314178737273,5.0,10.0,32.0,g7,Tc
96,0.007021591185895334,0.9292637585865331,0.34743356704711914,10.0,1.0,6.0,8.0,24.0,0.664057812392937,5.0,10.0,30.0,g10,Ta
97,0.035646764776674784,0.6626535565279392,0.14856576919555664,10.0,1.0,3.0,8.0,25.0,0.45989193486849145,5.0,10.0,31.0,g10,Tb
98,0.01841641741506712,0.8291366435864064,0.34743356704711914,10.0,1.0,1.0,8.0,26.0,0.21445411678313597,5.0,10.0,32.0,g10,Tc
99,0.007360615530130322,0.9497680342347697,0.35755181312561035,10.0,-1.0,6.0,9.0,27.0,0.5991277152073129,5.0,10.0,30.0,g10,Ta
100,-0.03599965008498512,0.7541923817580913,0.3075528144836426,10.0,-1.0,3.0,9.0,28.0,0.6051602835650884,5.0,10.0,31.0,g10,Tb
101,-0.005419276028148632,0.9694284169923165,0.6529886722564697,10.0,-1.0,1.0,9.0,29.0,0.45946066547049125,5.0,10.0,32.0,g10,Tc
102,0.04297774933756518,0.6876868102774789,0.4994537830352783,12.5,1.0,6.0,10.0,30.0,0.6132197543203781,5.0,10.0,30.0,g12,Ta
103,0.016386776466611068,0.8785851442502193,1.3038420677185059,12.5,1.0,3.0,10.0,31.0,0.4790481141386934,5.0,10.0,31.0,g12,Tb
104,0.06219149304123611,0.5486172890481769,0.6494560241699219,12.5,1.0,1.0,10.0,32.0,0.2557087222971941,5.0,10.0,32.0,g12,Tc
105,0.014816727550291363,0.9187928759322286,0.2994561195373535,12.5,-1.0,6.0,11.0,33.0,0.5785538789746203,5.0,10.0,30.0,g12,Ta
106,-0.02441652038753213,0.8620816841639856,0.4994168281555176,12.5,-1.0,3.0,11.0,34.0,0.5216495994115854,5.0,10.0,31.0,g12,Tb
107,0.010686797871340699,0.9357699974752737,0.29996156692504883,12.5,-1.0,1.0,11.0,35.0,0.3577003585524614,5.0,10.0,32.0,g12,Tc
108,0.0013933847136161535,0.9922314702710016,0.2541391849517822,7.5,1.0,6.0,6.0,18.0,0.4510097061655507,5.0,10.0,30.0,g7,Ta
109,0.0431257803102079,0.5212372535030141,0.30400538444519043,7.5,1.0,3.0,6.0,19.0,0.4575523360737246,5.0,10.0,31.0,g7,Tb
