,lift_err,e_reduct,r_time,gust,dir,taps,gustID,IDnum,out_cap,AoA,speed,contID,g_cat
124,-0.07273856566523203,0.8865699513447427,0.9299955368041992,6.0,-1.0,3.0,11.0,34.0,0.7270180682471982,5.0,10.0,31.0,g6
125,0.027151813599726075,0.9504360044697622,0.869997501373291,6.0,-1.0,1.0,11.0,35.0,0.713533169996831,5.0,10.0,32.0,g6
126,-0.028097110026574515,0.8684539646551822,0.6199972629547119,3.0,1.0,6.0,6.0,18.0,0.5631300737246185,5.0,10.0,30.0,g3
127,-0.011343397608375433,0.9400592169552033,0.9899981021881104,3.0,1.0,3.0,6.0,19.0,0.5581375357536499,5.0,10.0,31.0,g3
128,-0.2604502001579314,-0.25181055455960744,0.9899966716766357,3.0,1.0,1.0,6.0,20.0,-0.8831414600078431,5.0,10.0,32.0,g3
129,-0.021363203285226097,0.9242205611247163,0.3699986934661865,3.0,-1.0,6.0,7.0,21.0,0.4016732528760696,5.0,10.0,30.0,g3
130,-0.010569352308901346,0.967329108941929,1.2399952411651611,3.0,-1.0,3.0,7.0,22.0,0.5792051973456994,5.0,10.0,31.0,g3
131,0.22106188244905017,0.16428846013921572,0.8000373840332031,3.0,-1.0,1.0,7.0,23.0,0.020962032238076023,5.0,10.0,32.0,g3
132,0.010189798530135968,0.9744258402831019,1.2999942302703857,4.5,1.0,6.0,8.0,24.0,0.6479536898564873,5.0,10.0,30.0,g4_5
133,-0.0027043594031407755,0.9892710705338705,0.6799967288970947,4.5,1.0,3.0,8.0,25.0,0.7182749157433204,5.0,10.0,31.0,g4_5
134,0.13486031556805622,0.6211783177894903,0.9899964332580566,4.5,1.0,1.0,8.0,26.0,-0.5921150400731292,5.0,10.0,32.0,g4_5
135,-0.11257981042943498,0.7447666837566107,0.8099963665008545,4.5,-1.0,6.0,9.0,27.0,0.5295359879649857,5.0,10.0,30.0,g4_5
136,-0.037123383796736326,0.9094319388994763,0.9299960136413574,4.5,-1.0,3.0,9.0,28.0,0.613672444205205,5.0,10.0,31.0,g4_5
137,0.1146501900089031,0.7281702080115191,0.8099949359893799,4.5,-1.0,1.0,9.0,29.0,0.5526348575933953,5.0,10.0,32.0,g4_5
138,-0.015960143663289152,0.9655655859430291,1.2999956607818604,6.0,1.0,6.0,10.0,30.0,0.6094446971303576,5.0,10.0,30.0,g6
139,0.01469161713138294,0.9768034614127913,0.9299964904785156,6.0,1.0,3.0,10.0,31.0,0.8354443335033699,5.0,10.0,31.0,g6
140,-0.001672140746716096,0.9921744540276672,1.3599958419799805,6.0,1.0,1.0,10.0,32.0,-0.52874647739409,5.0,10.0,32.0,g6
141,-0.053688040571446105,0.9150653396217582,0.6799983978271484,6.0,-1.0,6.0,11.0,33.0,0.7378648663387549,5.0,10.0,30.0,g6
142,-0.08224396903915211,0.868418483247853,0.9899957180023193,6.0,-1.0,3.0,11.0,34.0,0.7270180682471982,5.0,10.0,31.0,g6
143,-0.00431465369214834,0.9999360389776785,1.2399940490722656,6.0,-1.0,1.0,11.0,35.0,0.713533169996831,5.0,10.0,32.0,g6
144,-0.050112469037126045,0.7520158729917145,0.3699991703033447,3.0,1.0,6.0,6.0,18.0,0.5631300737246185,5.0,10.0,30.0,g3
145,-0.015527357648431873,0.9225679180749932,0.4999995231628418,3.0,1.0,3.0,6.0,19.0,0.5581375357536499,5.0,10.0,31.0,g3
146,-0.2586210701407105,-0.2567712215403384,1.4199941158294678,3.0,1.0,1.0,6.0,20.0,-0.8831414600078431,5.0,10.0,32.0,g3
147,-0.08718096074077734,0.6778228406500493,0.3699977397918701,3.0,-1.0,6.0,7.0,21.0,0.4016732528760696,5.0,10.0,30.0,g3
148,0.008724920805816093,0.96199093287931,0.8000373840332031,3.0,-1.0,3.0,7.0,22.0,0.5792051973456994,5.0,10.0,31.0,g3
149,0.20012944570293578,0.24674892521625358,1.4299964904785156,3.0,-1.0,1.0,7.0,23.0,0.020962032238076023,5.0,10.0,32.0,g3
150,-0.023275624629573152,0.939111752993833,0.9899964332580566,4.5,1.0,6.0,8.0,24.0,0.6479536898564873,5.0,10.0,30.0,g4_5
151,-0.0086378693703845,0.97875928196003,0.5599961280822754,4.5,1.0,3.0,8.0,25.0,0.7182749157433204,5.0,10.0,31.0,g4_5
152,0.027302680529816062,0.925584204771159,0.8699948787689209,4.5,1.0,1.0,8.0,26.0,-0.5921150400731292,5.0,10.0,32.0,g4_5
153,-0.08048501439319711,0.8169765729015082,0.6799967288970947,4.5,-1.0,6.0,9.0,27.0,0.5295359879649857,5.0,10.0,30.0,g4_5
154,-0.05717577041386944,0.8660922207217777,0.6899969577789307,4.5,-1.0,3.0,9.0,28.0,0.613672444205205,5.0,10.0,31.0,g4_5
155,0.17980906275230338,0.5728401935163361,1.3099956512451172,4.5,-1.0,1.0,9.0,29.0,0.5526348575933953,5.0,10.0,32.0,g4_5
156,0.00014710721052522995,0.9918175415588709,0.8099963665008545,6.0,1.0,6.0,10.0,30.0,0.6094446971303576,5.0,10.0,30.0,g6
157,0.0029464475918604613,0.9946881748235175,1.2999944686889648,6.0,1.0,3.0,10.0,31.0,0.8354443335033699,5.0,10.0,31.0,g6
158,0.00990954135107371,0.9723786380555759,1.6099941730499268,6.0,1.0,1.0,10.0,32.0,-0.52874647739409,5.0,10.0,32.0,g6
159,-0.11006784820144842,0.8216112577678338,0.7399976253509521,6.0,-1.0,6.0,11.0,33.0,0.7378648663387549,5.0,10.0,30.0,g6
160,-0.1055599872665003,0.8251062386121149,0.7999982833862305,6.0,-1.0,3.0,11.0,34.0,0.7270180682471982,5.0,10.0,31.0,g6
161,0.029919209673325505,0.9427355556537268,1.1099958419799805,6.0,-1.0,1.0,11.0,35.0,0.713533169996831,5.0,10.0,32.0,g6
162,-0.001583662009812224,0.9834831073870519,0.48999738693237305,3.0,1.0,6.0,6.0,18.0,0.5631300737246185,5.0,10.0,30.0,g3
163,0.001591684710565695,0.981447424149391,0.8000373840332031,3.0,1.0,3.0,6.0,19.0,0.5581375357536499,5.0,10.0,31.0,g3
164,-0.17356889096635397,0.14681252998629246,1.1799952983856201,3.0,1.0,1.0,6.0,20.0,-0.8831414600078431,5.0,10.0,32.0,g3
165,-0.06617439735260652,0.7516421930970398,0.3099985122680664,3.0,-1.0,6.0,7.0,21.0,0.4016732528760696,5.0,10.0,30.0,g3
166,0.04069050428328186,0.8505377165711554,0.9299960136413574,3.0,-1.0,3.0,7.0,22.0,0.5792051973456994,5.0,10.0,31.0,g3
167,0.2482788742895034,0.05261380240571767,1.2399952411651611,3.0,-1.0,1.0,7.0,23.0,0.020962032238076023,5.0,10.0,32.0,g3
168,-0.005503205127209503,0.9722824221370857,1.0599966049194336,4.5,1.0,6.0,8.0,24.0,0.6479536898564873,5.0,10.0,30.0,g4_5
169,-0.02738523895692958,0.9322001953985969,0.8699948787689209,4.5,1.0,3.0,8.0,25.0,0.7182749157433204,5.0,10.0,31.0,g4_5
170,0.03907594091490945,0.8908948438753883,1.4199938774108887,4.5,1.0,1.0,8.0,26.0,-0.5921150400731292,5.0,10.0,32.0,g4_5
171,-0.09821233228208477,0.7743745176808554,0.7399959564208984,4.5,-1.0,6.0,9.0,27.0,0.5295359879649857,5.0,10.0,30.0,g4_5
172,-0.030774875288942665,0.9338036603785002,0.9999945163726807,4.5,-1.0,3.0,9.0,28.0,0.613672444205205,5.0,10.0,31.0,g4_5
173,0.15525636122542358,0.6307233322823487,1.2399966716766357,4.5,-1.0,1.0,9.0,29.0,0.5526348575933953,5.0,10.0,32.0,g4_5
174,0.017664679074331145,0.9644316387008597,0.8099958896636963,6.0,1.0,6.0,10.0,30.0,0.6094446971303576,5.0,10.0,30.0,g6
175,0.003195244991224459,0.9984163421374158,1.2399940490722656,6.0,1.0,3.0,10.0,31.0,0.8354443335033699,5.0,10.0,31.0,g6
176,-0.020312425578399948,0.9656526194290228,1.2399940490722656,6.0,1.0,1.0,10.0,32.0,-0.52874647739409,5.0,10.0,32.0,g6
177,-0.08083343862223849,0.8694129249111512,0.9299964904785156,6.0,-1.0,6.0,11.0,33.0,0.7378648663387549,5.0,10.0,30.0,g6
178,-0.044499253763452686,0.9298459622272952,0.7499973773956299,6.0,-1.0,3.0,11.0,34.0,0.7270180682471982,5.0,10.0,31.0,g6
179,0.038407695144603404,0.9355006963484022,1.1099977493286133,6.0,-1.0,1.0,11.0,35.0,0.713533169996831,5.0,10.0,32.0,g6
180,-0.06964400959130654,0.6561764879957807,1.549994945526123,3.0,1.0,6.0,6.0,18.0,0.5631300737246185,5.0,10.0,33.0,g3
181,-0.006612035931239968,0.9488023902224971,0.8699986934661865,3.0,1.0,3.0,6.0,19.0,0.5581375357536499,5.0,10.0,34.0,g3
182,0.039801627227108054,0.8146222513049842,0.3699977397918701,3.0,1.0,1.0,6.0,20.0,-0.8831414600078431,5.0,10.0,35.0,g3
